time_edt,source,speech,language,shouted,transcriber_note,pdf_page
10:02:17.3,CAM-?,Turn it up!,english_spoken,,"A very loud shout, by a native. English speaking male",9
10:02:18.7,CAM-1,"Down, down",translated_arabic,,,9
10:02:20.6,CAM,,unmarked,,The sound of 5 loud clicks,9
10:02:23.0,CAM-?,Pull it down! Pull it down! DOWN!,translated_arabic,,,9
10:02:25.7,CAM-?,"Down. Push, push, push, push. push",english_spoken,,U/I,10
10:02:32.1,CAM,,unmarked,,The sound of 4 alert tones,10
10:02:33.2,CAM-2,Hey! Hey! Give it to me. Give it to me,translated_arabic,,,10
10:02:35.0,CAM-2,Give it to me. Give it to me. Give it to me,translated_arabic,,,10
10:02:37.4,CAM-2,Give it to me. Give it to me. Give it to me,translated_arabic,,,10
10:02:42.7,,C AM,unmarked,yes,The sound of a grunt,10
10:02:43.1,CAM.,,unmarked,,The sound of a loud air noise starts,10
10:02:52.2,CAM,,unmarked,,The sound of a loud air noise stops,10
10:02:53.4,CAM,,unmarked,,The sound of a loud air noise starts,10
10:02:58.5,CAM,,unmarked,,The sound of a grunt,10
10:03:02.7,CAM,3 Allah is the Greatest!,translated_arabic,,,10
10:03:03,CAM-3,Allah is the Greatest!!,translated_arabic,,,10
10:03:04,CAM-3,Allah is the Greatest!,translated_arabic,,,10
10:03:05.5,CAM,,unmarked,,The sound of 4 alert tones,10
10:03:06.0,CAM-3,Allah is the Greatest!,translated_arabic,,,10
10:03:06.7,CAM-3,! Allah is the Greatest,translated_arabic,,,10
10:03:07.2,CAM-?,NO!!!,unmarked,yes,"The sound of a struggle, and a native English speaking man shouting loudly",10
10:03:09.0,HOT-2,,unmarked,,The sound of a microphone that continued until the end of the recording,10
10:03:09.1,CAM-3,Allah is the Greatest! Allah is the Greatest!,translated_arabic,,A whisper,10
10:03:09.2,CAM,,unmarked,,"The sound of a loud air noise stops, and screams",10
10:03:09.3,CAM-3,Allah is the Greatest! Allah is the Greatest!,translated_arabic,,A whisper,10
10:03:10,CAM,,unmarked,,Silence,10
10:03:10.9,CAM,,unmarked,,End of recording,10
